published_date,company,title,link,industry,publisher_topic,publisher
"25 Sep 2024
08:18 CEST",Norwegian Air Shuttle ASA,NOTIFICATION OF MAJOR HOLDINGS,https://live.euronext.com/en/products/equities/company-news/2024-09-25-notification-major-holdings-0,40501010 Airlines,Major shareholding notifications,Euronext
"25 Sep 2024
08:16 CEST",Schibsted ASA,NOTIFICATION OF MAJOR HOLDINGS,https://live.euronext.com/en/products/equities/company-news/2024-09-25-notification-major-holdings,10101020 Consumer Digital Services,Major shareholding notifications,Euronext
"25 Sep 2024
08:06 CEST",Kistos Energy (Norway) AS,Kistos Holdings plc - interim results for the period to 30 June 2024,https://live.euronext.com/en/products/equities/company-news/2024-09-25-kistos-holdings-plc-interim-results-period-30-june-2024,-,Non-regulatory press releases,Euronext
"25 Sep 2024
08:01 CEST",-,CNP Assurances’ shareholding in CNP UniCredit Vita,https://live.euronext.com/en/products/equities/company-news/2024-09-25-cnp-assurances-shareholding-cnp-unicredit-vita,-,"Mergers, Acquiqitions, Transferts",Euronext
"25 Sep 2024
08:01 CEST",-,Participation de CNP Assurances dans CNP UniCredit Vita,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-participation-cnp-assurances-dans-cnp-unicredit-vita,-,"Mergers, Acquiqitions, Transferts",Euronext
"25 Sep 2024
08:00 CEST",ARCTIC BIOSCIENCE AS,Arctic Bioscience - New cellular research showing anti-psoriatic effects,https://live.euronext.com/en/products/equities/company-news/2024-09-25-arctic-bioscience-new-cellular-research-showing-anti,45102020 Food Products,Non-regulatory press releases,Euronext
"25 Sep 2024
08:00 CEST",ARCTIC BIOSCIENCE AS,Arctic Bioscience - Ny celleforskning viser anti-psoriatiske effekter,https://live.euronext.com/nb/products/equities/company-news/2024-09-25-arctic-bioscience-ny-celleforskning-viser-anti,45102020 Food Products,Ikke-informasjonspliktige pressemeldinger,Euronext
"25 Sep 2024
08:00 CEST",MICHELIN,"Michelin : Disclosure of trading in own shares - September 25, 2024",https://live.euronext.com/en/products/equities/company-news/2024-09-25-michelin-disclosure-trading-own-shares-september-25-2024,40101015 Tires,Share history,Euronext
"25 Sep 2024
08:00 CEST",SpareBank 1 SMN,Buy-back of Additional Tier 1: MING95 PRO (ISIN: NO0010865660) and MING86 PRO (ISIN: NO0010814684),https://live.euronext.com/en/products/equities/company-news/2024-09-25-buy-back-additional-tier-1-ming95-pro-isin-no0010865660,30101010 Banks,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"25 Sep 2024
08:00 CEST",Wallenius Wilhelmsen ASA,Wallenius Wilhelmsen ASA: Ex Dividend totalling USD 1.07 today,https://live.euronext.com/en/products/equities/company-news/2024-09-25-wallenius-wilhelmsen-asa-ex-dividend-totalling-usd-107,50206030 Marine Transportation,Ex Date,Euronext
"25 Sep 2024
08:00 CEST",MON COURTIER ENERGIE GROUPE S.A.,Mon courtier énergie groupe s’implante en Belgique et étend son réseau international,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-mon-courtier-energie-groupe-simplante-en-belgique-et,50205020 Professional Business Support Services,Products and services,Euronext
"25 Sep 2024
08:00 CEST",RIBER,RIBER : Résultats du premier semestre 2024,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-riber-resultats-du-premier-semestre-2024,10102010 Semiconductors,Income,Euronext
"25 Sep 2024
08:00 CEST",MICHELIN,Michelin : Déclaration des transactions sur actions propres - 25 Septembre 2024,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-michelin-declaration-transactions-sur-actions-propres-25,40101015 Tires,Share history,Euronext
"25 Sep 2024
08:00 CEST",SpareBank 1 SMN,Tilbakekjøp av Fondsobligasjonslån: MING95 PRO (ISIN: NO0010865660) og MING86 PRO (ISIN: NO0010814684),https://live.euronext.com/nb/products/equities/company-news/2024-09-25-tilbakekjop-av-fondsobligasjonslan-ming95-pro-isin,30101010 Banks,Annen informasjonspliktig regulatorisk informasjon,Euronext
"25 Sep 2024
08:00 CEST",IDI,Résultats semestriels 2024 - ANR par action stable - Fonds propres consolidés : 700M€,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-resultats-semestriels-2024-anr-par-action-stable-fonds,30204000 Closed End Investments,General meeting / Board Meeting,Euronext
"25 Sep 2024
08:00 CEST",MON COURTIER ENERGIE GROUPE S.A.,Mon Courtier Energie Groupe Opens in Belgium and Extends Its International Network,https://live.euronext.com/en/products/equities/company-news/2024-09-25-mon-courtier-energie-groupe-opens-belgium-and-extends-its,50205020 Professional Business Support Services,Products and services,Euronext
"25 Sep 2024
08:00 CEST",RIBER,RIBER: 2024 first-half earnings,https://live.euronext.com/en/products/equities/company-news/2024-09-25-riber-2024-first-half-earnings,10102010 Semiconductors,Income,Euronext
"25 Sep 2024
07:45 CEST",ORANGE,"Press release: Orange intends to voluntarily delist from the NYSE, deregister with the SEC, and launch a consent solicitation in relation to certain outstanding notes",https://live.euronext.com/en/products/equities/company-news/2024-09-25-press-release-orange-intends-voluntarily-delist-nyse,15102015 Telecommunications Services,Corporate life,Euronext
"25 Sep 2024
07:45 CEST",ORANGE,"Communiqué : Orange annonce son intention de se retirer du NYSE, de se désenregistrer auprès de la Securities and Exchange Commission américaine et de solliciter l’accord des porteurs de certains titres de dette en circulation",https://live.euronext.com/fr/products/equities/company-news/2024-09-25-communique-orange-annonce-son-intention-se-retirer-du,15102015 Telecommunications Services,Corporate life,Euronext
"25 Sep 2024
07:30 CEST",Boussard Gavaudan,BGHL (EUR): NAV(s),https://live.euronext.com/en/products/equities/company-news/2024-09-25-bghl-eur-navs,30204000 Closed End Investments,Other subject,Euronext
"25 Sep 2024
07:30 CEST",BOUSSARD GAVAUDAN HOLD LTD GBP,BGHL (GBP): NAV(s),https://live.euronext.com/en/products/equities/company-news/2024-09-25-bghl-gbp-navs,30204000 Closed End Investments,Other subject,Euronext
"25 Sep 2024
07:30 CEST",STANDARD SUPPLY AS,Standard Supply AS: Key information relating to proposed extraordinary cash dividend,https://live.euronext.com/en/products/equities/company-news/2024-09-25-standard-supply-key-information-relating-proposed,50206030 Marine Transportation,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"25 Sep 2024
07:00 CEST",MPC CONTAINER SHIPS,MPCC Continues Fleet Renewal and Secures Attractive Charter,https://live.euronext.com/en/products/equities/company-news/2024-09-25-mpcc-continues-fleet-renewal-and-secures-attractive,50206030 Marine Transportation,Non-regulatory press releases,Euronext
"25 Sep 2024
07:00 CEST",REALITES,"Pour restructurer son endettement, REALITES a engagé une procédure de conciliation",https://live.euronext.com/fr/products/equities/company-news/2024-09-25-pour-restructurer-son-endettement-realites-engage-une,35101010 Real Estate Holding and Development,Other subject,Euronext
"25 Sep 2024
07:00 CEST",LIFECARE ASA,Lifecare ASA: Re-purchase of shares and warrants,https://live.euronext.com/en/products/equities/company-news/2024-09-25-lifecare-asa-re-purchase-shares-and-warrants,20103010 Biotechnology,Acquisition or disposal of the issuer’s own shares,Euronext
"25 Sep 2024
07:00 CEST",STANDARD SUPPLY AS,Standard Supply AS – Proposed dividend of NOK 1.10 per share - Notice of extraordinary general meeting,https://live.euronext.com/en/products/equities/company-news/2024-09-25-standard-supply-proposed-dividend-nok-110-share-notice,50206030 Marine Transportation,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"25 Sep 2024
06:55 CEST",PBB,"Deutsche Pfandbriefbank AG: Release according to Article 40, Section 1 of the WpHG [the German Securities Trading Act] with the objective of Europe-wide distribution",https://live.euronext.com/en/products/equities/company-news/2024-09-25-deutsche-pfandbriefbank-ag-release-according-article-40,30101010 Banks,Other subject,Euronext
"25 Sep 2024
06:29 CEST",Hawk Infinity Softw AS 23/28 FRN FLOOR C,Hawk Infinity Software AS – Fixed income investor meetings and summons for written resolution,https://live.euronext.com/en/products/equities/company-news/2024-09-25-hawk-infinity-software-fixed-income-investor-meetings-and,-,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"25 Sep 2024
01:00 CEST",Tomra Systems ASA,TOMRA: Tasmania appoints TOMRA as sole RVM solutions provider for upcoming DRS,https://live.euronext.com/en/products/equities/company-news/2024-09-25-tomra-tasmania-appoints-tomra-sole-rvm-solutions-provider,50204000 Machinery: Industrial,Non-regulatory press releases,Euronext
"25 Sep 2024
00:25 CEST",TOTALENERGIES,TotalEnergies SE: Disclosure of Transactions in Own Shares,https://live.euronext.com/en/products/equities/company-news/2024-09-25-totalenergies-se-disclosure-transactions-own-shares,60101000 Integrated Oil and Gas,Other subject,Euronext
"25 Sep 2024
00:25 CEST",TOTALENERGIES,TotalEnergies SE: Déclaration des Transactions sur Actions Propres,https://live.euronext.com/fr/products/equities/company-news/2024-09-25-totalenergies-se-declaration-transactions-sur-actions,60101000 Integrated Oil and Gas,Other subject,Euronext
"24 Sep 2024
22:15 CEST",COOL COMPANY LTD.,Cool Company Ltd – Notice of Annual General Meeting 2024 and Availability of Associated Materials,https://live.euronext.com/en/products/equities/company-news/2024-09-24-cool-company-ltd-notice-annual-general-meeting-2024-and,50206030 Marine Transportation,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"24 Sep 2024
22:11 CEST",AKER BP,Aker BP ASA announces pricing of Senior Notes Offering,https://live.euronext.com/en/products/equities/company-news/2024-09-24-aker-bp-asa-announces-pricing-senior-notes-offering,60101010 Oil: Crude Producers,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"24 Sep 2024
20:30 CEST",ENSURGE MICROPOWER ASA,Ensurge Micropower ASA - Grant of Incentive Subscription Rights,https://live.euronext.com/en/products/equities/company-news/2024-09-24-ensurge-micropower-asa-grant-incentive-subscription,50202040 Electronic Equipment: Other,Total number of voting rights and capital,Euronext
"24 Sep 2024
19:42 CEST",PERNOD RICARD,Pernod Ricard à la climate week de New York pour réaffirmer ses engagements pour le climat,https://live.euronext.com/fr/products/equities/company-news/2024-09-24-pernod-ricard-climate-week-new-york-pour-reaffirmer-ses,45101015 Distillers and Vintners,Other subject,Euronext
"24 Sep 2024
19:42 CEST",PERNOD RICARD,Pernod Ricard at Climate Week NYC to Reaffirm Its Climate Commitments,https://live.euronext.com/en/products/equities/company-news/2024-09-24-pernod-ricard-climate-week-nyc-reaffirm-its-climate,45101015 Distillers and Vintners,Other subject,Euronext
"24 Sep 2024
19:27 CEST",SOLOCAL GROUP,Résultats financiers du premier semestre 2024,https://live.euronext.com/fr/products/equities/company-news/2024-09-24-resultats-financiers-du-premier-semestre-2024,40301030 Publishing,General meeting / Board Meeting,Euronext
"24 Sep 2024
19:27 CEST",SOLOCAL GROUP,H1 2024 financial results,https://live.euronext.com/en/products/equities/company-news/2024-09-24-h1-2024-financial-results,40301030 Publishing,General meeting / Board Meeting,Euronext
"24 Sep 2024
19:15 CEST",EUROPLASMA,EUROPLASMA: RÉSULTAT DE L’ASSEMBLÉE GÉNÉRALE ORDINAIRE ET EXTRAORDINAIRE DU 24 SEPTEMBRE 2024,https://live.euronext.com/fr/products/equities/company-news/2024-09-24-europlasma-resultat-lassemblee-generale-ordinaire-et,65103035 Waste and Disposal Services,General meeting / Board Meeting,Euronext
"24 Sep 2024
19:14 CEST",Omda AS,Transactions carried out under the share buy-back programme,https://live.euronext.com/en/products/equities/company-news/2024-09-24-transactions-carried-out-under-share-buy-back-programme,20101025 Health Services,Acquisition or disposal of the issuer’s own shares,Euronext
"24 Sep 2024
19:11 CEST",NORDIC UNMANNED ASA,Nordic Unmanned (NUMND) - Resignation of Board member,https://live.euronext.com/en/products/equities/company-news/2024-09-24-nordic-unmanned-numnd-resignation-board-member,50202040 Electronic Equipment: Other,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"24 Sep 2024
19:00 CEST",SpareBank 1 SR-Bank ASA,Publication of exemption document:,https://live.euronext.com/en/products/equities/company-news/2024-09-24-publication-exemption-document-0,30101010 Banks,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"24 Sep 2024
19:00 CEST",SPAREBANK 1 SØRØST-NORGE,Publication of exemption document:,https://live.euronext.com/en/products/equities/company-news/2024-09-24-publication-exemption-document,30101010 Banks,Additional regulated information required to be disclosed under the laws of a Member State,Euronext
"24 Sep 2024
19:00 CEST",SpareBank 1 SR-Bank ASA,Offentliggjøring av unntaksdokument,https://live.euronext.com/nb/products/equities/company-news/2024-09-24-offentliggjoring-av-unntaksdokument-0,30101010 Banks,Annen informasjonspliktig regulatorisk informasjon,Euronext
"24 Sep 2024
19:00 CEST",SPAREBANK 1 SØRØST-NORGE,Offentliggjøring av unntaksdokument,https://live.euronext.com/nb/products/equities/company-news/2024-09-24-offentliggjoring-av-unntaksdokument,30101010 Banks,Annen informasjonspliktig regulatorisk informasjon,Euronext
"24 Sep 2024
18:44 CEST",SHELL PLC,Transaction in Own Shares,https://live.euronext.com/en/products/equities/company-news/2024-09-24-transaction-own-shares,60101000 Integrated Oil and Gas,Other subject,Euronext
"24 Sep 2024
18:44 CEST",BILENDI,BILENDI: Bilendi broadens its reach with proprietary panels across most of Europe,https://live.euronext.com/en/products/equities/company-news/2024-09-24-bilendi-bilendi-broadens-its-reach-proprietary-panels,40301020 Media Agencies,Products and services,Euronext
"24 Sep 2024
18:44 CEST",BILENDI,BILENDI: Bilendi étend la couverture de ses panels propriétaires à la quasi-totalité de l’Europe,https://live.euronext.com/fr/products/equities/company-news/2024-09-24-bilendi-bilendi-etend-couverture-ses-panels-proprietaires,40301020 Media Agencies,Products and services,Euronext
"24 Sep 2024
18:37 CEST",QUADIENT S.A.,Quadient signe un contrat de plusieurs millions d’euros avec un assureur mondial pour transformer ses communications clients,https://live.euronext.com/fr/products/equities/company-news/2024-09-24-quadient-signe-contrat-plusieurs-millions-deuros-avec,Electronic Office Equipment,Corporate life,Euronext
"24 Sep 2024
18:37 CEST",QUADIENT S.A.,Quadient Secures Landmark Multi-Million Deal with Leading Global Insurer to Drive Customer Communications Transformation,https://live.euronext.com/en/products/equities/company-news/2024-09-24-quadient-secures-landmark-multi-million-deal-leading,Electronic Office Equipment,Corporate life,Euronext
